Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Bonus
2020-12-30;8;27;29;32;34;42;2
2020-12-26;6;9;10;17;29;42;45
2020-12-23;21;27;33;34;39;41;29
2020-12-19;1;31;34;39;42;44;37
2020-12-16;4;6;20;26;28;42;25
2020-12-12;4;7;17;27;36;41;45
2020-12-09;8;16;19;20;39;44;15
2020-12-05;10;14;20;22;35;38;8
2020-12-02;9;22;33;35;37;45;11
2020-11-28;17;32;36;37;38;41;6
2020-11-25;3;12;18;28;32;36;45
2020-11-21;4;8;10;32;41;44;43
2020-11-18;2;16;24;25;27;38;39
2020-11-14;1;6;17;19;20;43;3
2020-11-11;1;11;14;31;32;37;42
2020-11-07;11;15;29;36;40;42;25
2020-11-04;4;8;9;15;20;35;39
2020-10-31;11;12;21;23;24;43;44
2020-10-28;18;22;25;28;43;45;38
2020-10-24;20;21;23;24;27;35;17
2020-10-21;3;27;29;32;35;44;13
2020-10-17;1;4;7;33;34;45;21
2020-10-14;3;10;21;32;33;41;7
2020-10-10;1;7;8;9;20;24;42
2020-10-07;2;13;14;23;32;43;24
2020-10-03;1;9;12;15;25;26;39
2020-09-30;2;13;16;19;32;45;24
2020-09-26;2;9;22;29;31;34;8
2020-09-23;17;23;27;29;37;39;18
2020-09-19;10;13;14;16;17;19;28
2020-09-16;14;23;27;28;35;38;24
2020-09-12;4;14;22;28;33;43;1
2020-09-09;8;13;16;17;24;44;12
2020-09-05;3;4;22;28;31;41;21
2020-09-02;4;5;10;23;35;40;22
2020-08-29;2;4;20;32;35;44;23
2020-08-26;1;2;10;33;36;44;4
2020-08-22;3;4;6;9;23;43;45
2020-08-19;13;26;29;31;37;38;18
2020-08-15;3;8;35;38;44;45;24
2020-08-12;3;5;12;16;29;43;24
2020-08-08;5;10;11;15;23;25;32
2020-08-05;11;12;15;21;34;40;4
2020-08-01;10;15;17;35;36;43;1
2020-07-29;19;25;32;34;38;45;1
2020-07-25;1;6;15;23;29;35;41
2020-07-22;14;15;30;36;39;42;8
2020-07-18;2;9;18;26;34;40;1
2020-07-15;4;5;20;33;43;45;39
2020-07-11;4;15;16;19;35;42;41
2020-07-08;11;14;28;36;38;41;39
2020-07-04;4;6;14;16;30;35;1
2020-07-01;8;9;28;31;40;44;14
2020-06-27;4;8;24;36;41;45;11
2020-06-24;16;20;27;31;40;44;37
2020-06-20;18;19;28;29;39;44;13
2020-06-17;3;15;16;23;25;45;39
2020-06-13;13;24;30;31;36;39;19
2020-06-10;9;16;24;25;27;36;34
2020-06-06;10;14;21;24;42;44;13
2020-06-03;5;8;9;17;19;35;25
2020-05-30;1;19;27;29;42;43;41
2020-05-27;9;20;27;38;39;40;28
2020-05-23;1;19;33;34;38;39;28
2020-05-20;7;16;17;18;22;28;27
2020-05-16;12;14;16;18;21;24;28
2020-05-13;8;15;19;24;40;44;5
2020-05-09;7;14;25;32;34;36;39
2020-05-06;12;20;29;33;38;43;30
2020-05-02;6;13;14;30;39;41;18
2020-04-29;1;14;21;30;41;44;24
2020-04-25;3;8;13;16;38;42;26
2020-04-22;9;21;29;32;40;43;14
2020-04-18;19;24;25;35;38;44;5
2020-04-15;12;21;29;33;37;45;36
2020-04-11;6;10;11;13;29;31;34
2020-04-08;4;5;8;19;26;31;22
2020-04-04;4;10;16;23;28;41;32
2020-04-01;18;21;29;39;41;45;9
2020-03-28;15;21;28;31;32;38;34
2020-03-25;7;28;30;34;36;45;10
2020-03-21;5;8;16;28;31;42;30
2020-03-18;7;11;18;25;33;43;34
2020-03-14;5;11;16;17;28;31;7
2020-03-11;5;9;11;31;35;42;21
2020-03-07;1;8;18;26;40;41;30
2020-03-04;2;20;33;34;36;42;38
2020-02-29;11;15;18;22;28;40;45
2020-02-26;5;8;16;18;23;42;36
2020-02-22;11;21;23;29;43;44;1
2020-02-19;3;5;15;16;22;33;40
2020-02-15;1;2;11;14;37;39;31
2020-02-12;10;15;20;27;34;45;44
2020-02-08;1;4;22;40;42;45;35
2020-02-05;1;9;21;22;29;44;16
2020-02-01;9;11;23;25;30;35;38
2020-01-29;6;20;21;29;31;34;22
2020-01-25;9;10;11;17;30;38;23
2020-01-22;4;8;10;18;20;28;35
2020-01-18;4;17;22;39;43;45;41
2020-01-15;12;21;24;32;34;35;4
2020-01-11;13;20;21;34;36;40;30
2020-01-08;3;4;6;14;24;25;1
2020-01-04;14;15;23;25;32;36;4
2020-01-01;16;19;22;29;32;34;5
