Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Bonus
2010-12-29;4;5;8;14;27;40;23
2010-12-25;16;17;20;27;34;35;9
2010-12-22;4;8;19;28;33;39;27
2010-12-18;3;5;8;14;17;24;32
2010-12-15;3;4;15;29;39;41;28
2010-12-11;2;12;16;28;29;37;42
2010-12-08;14;19;35;37;39;40;7
2010-12-04;1;4;7;23;25;26;34
2010-12-01;9;20;25;28;30;31;32
2010-11-27;3;16;23;26;27;31;7
2010-11-24;3;6;8;26;28;35;19
2010-11-20;8;9;12;18;21;33;37
2010-11-17;3;16;17;22;32;39;12
2010-11-13;10;16;33;37;38;39;15
2010-11-10;3;7;13;24;30;31;12
2010-11-06;8;17;19;32;33;40;11
2010-11-03;12;22;24;25;27;38;3
2010-10-30;14;19;21;23;28;39;42
2010-10-27;3;6;23;24;35;36;21
2010-10-23;9;11;19;22;37;40;32
2010-10-20;4;15;29;36;41;42;23
2010-10-16;9;16;19;22;26;37;20
2010-10-13;4;6;26;27;32;37;9
2010-10-09;5;7;14;18;27;35;33
2010-10-06;3;5;14;22;31;38;9
2010-10-02;3;4;15;27;32;40;20
2010-09-29;14;28;31;34;36;38;12
2010-09-25;14;16;20;21;34;41;33
2010-09-22;10;20;27;32;33;38;30
2010-09-18;2;13;21;23;27;32;28
2010-09-15;1;6;7;18;27;31;14
2010-09-11;9;18;22;24;29;36;32
2010-09-08;10;11;17;23;31;38;9
2010-09-04;3;20;21;35;37;42;1
2010-09-01;8;18;19;22;36;40;20
2010-08-28;1;13;14;23;30;31;37
2010-08-25;1;10;12;35;36;42;4
2010-08-21;3;6;7;18;26;28;33
2010-08-18;6;15;22;29;38;41;31
2010-08-14;8;13;24;34;37;40;42
2010-08-11;7;20;24;25;28;39;10
2010-08-07;4;10;20;24;34;42;14
2010-08-04;16;25;33;34;36;40;39
2010-07-31;4;6;7;9;10;29;17
2010-07-28;11;13;15;27;30;31;3
2010-07-24;3;9;10;11;18;42;26
2010-07-21;1;5;10;15;29;40;38
2010-07-17;10;13;14;15;25;26;8
2010-07-14;5;11;13;15;28;34;26
2010-07-10;3;5;18;19;31;33;2
2010-07-07;9;14;33;34;36;38;27
2010-07-03;2;7;24;25;31;39;8
2010-06-30;5;28;31;37;39;41;36
2010-06-26;1;7;17;22;23;25;32
2010-06-23;5;12;17;25;30;38;6
2010-06-19;1;6;7;14;19;29;22
2010-06-16;1;6;20;29;36;37;19
2010-06-12;1;8;16;25;27;39;18
2010-06-09;9;18;20;21;37;38;32
2010-06-05;1;7;8;10;11;24;41
2010-06-02;22;24;25;29;31;32;30
2010-05-29;9;10;20;21;29;31;11
2010-05-26;13;21;25;27;33;38;5
2010-05-22;1;3;9;23;31;41;6
2010-05-19;1;6;21;34;35;36;33
2010-05-15;5;23;32;33;36;38;8
2010-05-12;3;11;12;19;26;41;39
2010-05-08;13;17;21;32;39;42;38
2010-05-05;4;6;9;29;37;41;18
2010-05-01;2;4;14;18;20;29;24
2010-04-28;3;12;29;30;36;40;23
2010-04-24;4;6;9;13;21;35;26
2010-04-21;1;8;11;12;13;33;9
2010-04-17;2;17;21;29;30;36;12
2010-04-14;1;23;34;39;40;42;12
2010-04-10;2;6;11;26;32;33;22
2010-04-07;3;5;6;8;19;27;1
2010-04-03;4;5;8;28;32;36;27
2010-03-31;2;12;18;19;38;39;14
2010-03-27;1;11;17;20;35;40;38
2010-03-24;19;25;36;37;38;39;26
2010-03-20;11;25;27;29;31;36;23
2010-03-17;7;12;19;24;35;38;41
2010-03-13;7;9;20;23;40;42;24
2010-03-10;1;8;10;28;32;40;26
2010-03-06;5;9;22;27;31;39;24
2010-03-03;4;8;14;15;33;35;9
2010-02-27;1;11;12;27;32;33;34
2010-02-24;22;27;29;31;34;37;30
2010-02-20;9;18;19;25;31;34;15
2010-02-17;3;13;15;22;27;37;7
2010-02-13;3;4;10;14;18;41;29
2010-02-10;2;12;13;35;36;41;27
2010-02-06;16;19;24;29;30;31;1
2010-02-03;11;12;23;26;31;36;39
2010-01-30;19;20;24;33;34;42;37
2010-01-27;15;23;24;30;36;42;21
2010-01-23;2;16;21;25;30;33;18
2010-01-20;1;4;9;15;34;40;26
2010-01-16;25;26;28;29;30;33;5
2010-01-13;7;17;24;32;33;34;21
2010-01-09;8;9;13;14;30;38;42
2010-01-06;1;5;8;19;24;29;10
2010-01-02;2;4;8;11;37;39;16
