Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Bonus
2001-12-29;9;13;14;31;34;42;26
2001-12-26;9;12;24;32;33;39;17
2001-12-22;20;25;28;30;37;42;36
2001-12-19;20;28;32;34;38;42;4
2001-12-15;24;26;34;40;41;42;31
2001-12-12;5;9;11;18;27;37;13
2001-12-08;1;2;12;20;21;32;23
2001-12-05;7;13;14;23;37;42;40
2001-12-01;8;23;31;34;36;38;7
2001-11-28;4;16;19;33;38;42;28
2001-11-24;5;10;13;26;29;36;30
2001-11-21;19;27;32;35;36;40;4
2001-11-17;2;8;20;25;30;41;9
2001-11-14;8;9;11;14;17;36;33
2001-11-10;3;9;21;25;31;35;32
2001-11-07;1;2;9;13;18;19;40
2001-11-03;3;6;8;12;29;30;17
2001-10-31;3;5;6;20;25;38;40
2001-10-27;5;7;9;19;26;42;28
2001-10-24;6;9;15;20;25;26;29
2001-10-20;1;8;25;27;29;36;17
2001-10-17;18;20;21;28;36;42;22
2001-10-13;3;6;19;26;29;35;20
2001-10-10;9;14;22;30;39;42;4
2001-10-06;6;10;16;26;28;32;13
2001-10-03;2;4;8;28;30;34;31
2001-09-29;5;20;24;26;29;30;8
2001-09-26;4;7;12;16;17;40;3
2001-09-22;19;24;25;29;36;40;4
2001-09-19;7;20;28;31;38;40;5
2001-09-15;12;27;28;34;35;42;11
2001-09-12;8;20;26;37;39;41;25
2001-09-08;11;15;22;23;32;36;29
2001-09-05;4;6;15;21;34;39;5
2001-09-01;2;11;15;22;36;41;38
2001-08-29;6;21;23;26;28;33;14
2001-08-25;4;6;8;13;18;19;37
2001-08-22;3;19;23;26;35;36;42
2001-08-18;12;26;28;31;34;37;5
2001-08-15;6;12;16;20;26;35;5
2001-08-11;7;16;24;25;29;41;40
2001-08-08;7;11;20;34;37;41;10
2001-08-04;1;12;21;23;25;30;35
2001-08-01;11;13;15;23;26;31;25
2001-07-28;15;16;25;26;36;40;7
2001-07-25;2;5;27;34;35;36;25
2001-07-21;4;5;7;17;25;41;34
2001-07-18;5;16;18;26;34;35;1
2001-07-14;2;3;10;29;39;41;40
2001-07-11;5;10;15;16;21;36;34
2001-07-07;5;8;9;28;30;40;37
2001-07-04;3;10;12;13;17;38;23
2001-06-30;5;23;25;30;32;37;15
2001-06-27;3;6;16;30;37;42;10
2001-06-23;1;9;10;33;35;41;37
2001-06-20;2;13;19;22;27;38;6
2001-06-16;2;5;6;28;36;42;29
2001-06-13;5;11;24;25;29;41;27
2001-06-09;7;11;13;18;29;30;3
2001-06-06;1;3;6;20;23;29;26
2001-06-02;7;10;16;18;26;27;34
2001-05-30;2;8;13;28;37;42;31
2001-05-26;10;15;20;30;31;36;28
2001-05-23;2;5;8;11;27;39;9
2001-05-19;2;16;19;29;34;37;9
2001-05-16;2;6;8;13;16;36;40
2001-05-12;16;20;30;35;36;37;25
2001-05-09;2;4;5;12;16;29;11
2001-05-05;13;16;31;33;37;40;39
2001-05-02;4;10;12;26;30;33;32
2001-04-28;1;4;15;17;27;29;7
2001-04-25;1;7;8;9;25;27;26
2001-04-21;3;19;33;34;40;42;26
2001-04-18;5;7;13;19;24;29;14
2001-04-14;7;16;18;21;30;33;14
2001-04-11;1;7;11;25;32;37;21
2001-04-07;7;15;16;30;31;36;18
2001-04-04;4;14;15;16;21;36;18
2001-03-31;1;9;21;23;24;39;29
2001-03-28;3;12;13;15;32;36;5
2001-03-24;6;8;18;23;30;32;25
2001-03-21;1;14;19;21;29;34;5
2001-03-17;6;11;14;15;38;41;32
2001-03-14;2;6;12;17;33;41;3
2001-03-10;7;9;20;34;35;41;6
2001-03-07;16;19;21;25;33;42;17
2001-03-03;6;8;10;14;16;33;39
2001-02-28;11;26;27;29;34;37;12
2001-02-24;2;13;28;29;30;42;31
2001-02-21;2;15;30;34;37;42;27
2001-02-17;2;7;15;17;21;34;32
2001-02-14;1;2;14;16;19;25;13
2001-02-10;9;12;13;19;28;37;3
2001-02-07;3;21;22;23;25;30;35
2001-02-03;22;23;24;26;35;42;38
2001-01-31;5;6;7;9;24;33;10
2001-01-27;1;4;8;11;30;36;7
2001-01-24;2;4;29;35;37;42;16
2001-01-20;3;4;16;25;28;39;26
2001-01-17;2;10;11;21;25;35;33
2001-01-13;5;9;16;30;31;42;14
2001-01-10;2;3;16;20;30;40;23
2001-01-06;1;6;28;35;38;39;24
2001-01-03;19;23;33;34;38;40;20
