Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Bonus
2023-12-30;9;18;20;24;25;43;22
2023-12-27;7;17;24;25;39;44;4
2023-12-23;1;7;11;22;31;38;34
2023-12-20;2;18;20;23;30;41;5
2023-12-16;8;23;28;31;32;37;6
2023-12-13;1;16;22;36;39;45;23
2023-12-09;12;14;19;35;41;45;18
2023-12-06;8;13;17;25;26;43;42
2023-12-02;10;16;27;31;37;42;35
2023-11-29;3;17;29;32;41;42;37
2023-11-25;3;11;12;21;22;33;20
2023-11-22;3;9;12;35;36;43;20
2023-11-18;1;2;4;10;18;29;3
2023-11-15;2;3;4;11;15;43;14
2023-11-11;8;24;29;35;38;45;22
2023-11-08;7;10;15;17;18;33;4
2023-11-04;1;8;13;32;33;39;43
2023-11-01;9;16;21;24;32;36;12
2023-10-28;6;7;9;15;17;33;11
2023-10-25;1;10;35;37;42;43;23
2023-10-21;6;15;18;24;25;45;4
2023-10-18;19;27;28;32;41;45;31
2023-10-14;4;16;25;27;29;34;32
2023-10-11;7;15;20;23;40;43;18
2023-10-07;6;13;19;35;43;44;14
2023-10-04;5;9;10;18;33;42;43
2023-09-30;3;10;23;28;32;35;6
2023-09-27;3;18;24;37;40;42;20
2023-09-23;6;8;20;35;43;44;37
2023-09-20;1;10;13;37;41;45;43
2023-09-16;5;12;20;35;39;42;28
2023-09-13;4;29;31;40;44;45;30
2023-09-09;6;16;22;33;35;42;31
2023-09-06;2;6;17;19;29;33;16
2023-09-02;3;8;13;14;27;44;34
2023-08-30;1;9;10;19;34;39;14
2023-08-26;3;9;23;26;40;42;6
2023-08-23;7;9;11;12;16;44;36
2023-08-19;26;27;29;31;42;45;22
2023-08-16;1;24;30;34;37;43;17
2023-08-12;2;17;33;40;41;42;23
2023-08-09;8;20;28;29;31;32;27
2023-08-05;3;13;21;23;27;41;42
2023-08-02;2;7;10;24;26;35;39
2023-07-29;2;7;12;28;34;39;23
2023-07-26;5;19;23;34;38;44;8
2023-07-22;6;7;10;16;22;34;37
2023-07-19;11;25;30;31;36;42;12
2023-07-15;9;12;19;33;34;41;36
2023-07-12;9;10;13;24;25;36;34
2023-07-08;14;27;28;33;38;44;20
2023-07-05;10;13;16;17;25;44;26
2023-07-01;1;4;18;24;33;42;8
2023-06-28;2;4;7;17;24;34;20
2023-06-24;2;16;27;29;36;39;13
2023-06-21;15;19;22;27;28;34;20
2023-06-17;1;10;14;30;33;35;39
2023-06-14;4;16;18;23;36;40;21
2023-06-10;16;24;30;39;40;42;6
2023-06-07;3;17;21;23;38;42;16
2023-06-03;11;15;26;33;38;43;44
2023-05-31;1;30;33;38;39;41;25
2023-05-27;6;9;17;30;37;43;24
2023-05-24;2;8;34;41;42;44;28
2023-05-20;4;15;17;25;27;38;33
2023-05-17;12;33;37;41;42;45;25
2023-05-13;2;7;17;19;21;37;5
2023-05-10;6;10;11;21;23;28;31
2023-05-06;9;11;14;18;19;23;5
2023-05-03;14;20;24;27;41;45;2
2023-04-29;7;9;14;26;31;40;34
2023-04-26;15;16;18;25;33;37;38
2023-04-22;12;15;16;26;32;38;19
2023-04-19;5;8;10;21;30;34;2
2023-04-15;3;7;24;26;34;35;20
2023-04-12;10;14;26;37;38;43;16
2023-04-08;12;20;30;31;32;39;34
2023-04-05;3;9;10;25;31;34;24
2023-04-01;15;17;22;24;34;38;30
2023-03-29;14;18;27;33;41;42;1
2023-03-25;6;11;20;33;34;43;42
2023-03-22;13;15;18;32;33;39;26
2023-03-18;1;8;20;25;32;43;22
2023-03-15;2;13;20;30;35;39;25
2023-03-11;2;4;13;21;27;44;14
2023-03-08;12;20;21;29;30;32;19
2023-03-04;3;19;23;24;42;44;18
2023-03-01;4;9;23;25;30;42;2
2023-02-25;2;8;13;16;24;45;6
2023-02-22;2;6;16;23;26;35;11
2023-02-18;5;6;12;25;35;38;8
2023-02-15;2;3;5;6;9;25;7
2023-02-11;3;6;14;16;25;43;5
2023-02-08;2;4;7;32;37;38;42
2023-02-04;17;23;30;36;41;43;15
2023-02-01;4;8;11;17;27;35;36
2023-01-28;1;3;10;18;19;44;31
2023-01-25;4;8;29;31;35;36;11
2023-01-21;2;17;24;33;39;42;37
2023-01-18;3;6;9;28;32;33;11
2023-01-14;5;10;15;22;28;40;37
2023-01-11;7;12;23;25;39;45;34
2023-01-07;3;10;11;16;21;33;29
2023-01-04;8;11;12;17;28;37;42
