Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Bonus
2000-12-30;11;12;19;21;29;31;38
2000-12-27;4;6;10;15;32;38;17
2000-12-23;4;8;28;35;39;41;17
2000-12-20;4;19;26;34;35;40;25
2000-12-16;4;12;16;32;36;41;39
2000-12-13;6;17;22;24;27;39;10
2000-12-09;7;11;14;18;31;35;32
2000-12-06;11;20;27;33;35;42;41
2000-12-02;6;17;18;30;32;40;8
2000-11-29;10;13;18;22;23;38;39
2000-11-25;3;4;7;9;24;42;15
2000-11-22;10;13;16;21;34;39;20
2000-11-18;12;16;18;32;33;41;37
2000-11-15;3;12;14;34;35;42;5
2000-11-11;1;9;11;14;36;42;34
2000-11-08;1;4;6;10;11;40;17
2000-11-04;13;18;20;23;24;42;5
2000-11-01;14;16;20;24;35;36;38
2000-10-28;10;13;28;29;30;32;35
2000-10-25;9;19;25;26;30;36;38
2000-10-21;1;2;7;9;23;40;15
2000-10-18;1;5;11;17;34;39;16
2000-10-14;11;17;31;35;40;42;12
2000-10-11;4;8;10;16;26;31;1
2000-10-07;8;16;37;38;39;41;40
2000-10-04;15;17;28;33;38;42;26
2000-09-30;1;2;8;24;27;38;13
2000-09-27;2;3;6;25;32;39;41
2000-09-23;4;10;13;21;25;28;32
2000-09-20;5;13;15;29;33;37;36
2000-09-16;4;16;20;28;30;42;10
2000-09-13;1;11;18;21;24;26;32
2000-09-09;2;3;5;22;27;31;37
2000-09-06;7;11;26;28;33;40;41
2000-09-02;1;8;9;10;20;26;4
2000-08-30;1;5;15;16;27;39;38
2000-08-26;10;11;18;22;24;37;26
2000-08-23;7;21;23;24;26;36;38
2000-08-19;1;11;29;30;38;39;25
2000-08-16;3;12;14;16;19;25;9
2000-08-12;13;22;26;30;34;36;37
2000-08-09;14;21;29;30;32;37;9
2000-08-05;2;8;15;20;24;28;17
2000-08-02;12;14;16;19;21;28;11
2000-07-29;2;5;7;8;24;25;23
2000-07-26;21;24;27;31;32;33;26
2000-07-22;10;12;15;21;29;35;18
2000-07-19;4;9;11;24;26;33;16
2000-07-15;1;11;18;29;36;37;33
2000-07-12;5;7;12;14;30;41;9
2000-07-08;5;11;12;20;22;33;1
2000-07-05;10;18;22;29;32;40;27
2000-07-01;1;2;3;5;37;41;8
2000-06-28;9;14;16;18;23;29;1
2000-06-24;5;7;16;21;36;38;34
2000-06-21;4;10;15;33;39;40;34
2000-06-17;2;5;10;11;26;27;17
2000-06-14;4;5;15;24;40;42;21
2000-06-10;26;28;30;33;37;38;24
2000-06-07;4;19;27;34;35;36;12
2000-06-03;2;4;5;9;19;28;42
2000-05-31;1;2;9;23;31;40;8
2000-05-27;2;4;12;17;30;33;9
2000-05-24;13;14;16;23;35;39;7
2000-05-20;7;23;29;33;34;40;9
2000-05-17;6;14;16;23;27;32;18
2000-05-13;2;3;7;14;18;27;5
2000-05-10;1;13;15;19;33;40;41
2000-05-06;9;12;14;16;32;33;6
2000-05-03;3;4;25;32;34;37;1
2000-04-29;3;5;11;23;31;38;21
2000-04-26;1;22;23;33;37;38;20
2000-04-22;3;6;7;8;9;33;13
2000-04-19;5;6;22;24;31;42;10
2000-04-15;4;6;13;17;32;38;40
2000-04-12;3;5;20;23;24;36;8
2000-04-08;10;26;27;28;29;32;11
2000-04-05;5;10;12;21;30;36;41
2000-04-01;4;9;16;24;28;41;15
2000-03-29;11;16;19;31;32;42;25
2000-03-25;3;12;23;35;39;40;30
2000-03-22;10;14;26;27;32;39;34
2000-03-18;3;14;23;29;30;38;18
2000-03-15;12;19;21;29;40;41;18
2000-03-11;3;8;13;19;27;33;40
2000-03-08;13;14;19;24;25;34;1
2000-03-04;3;8;11;14;26;28;17
2000-03-01;7;12;24;27;30;35;15
2000-02-26;4;14;16;24;35;41;28
2000-02-23;6;23;25;28;33;35;11
2000-02-19;2;11;21;24;29;42;8
2000-02-16;4;5;12;27;33;40;8
2000-02-12;7;21;25;26;32;36;27
2000-02-09;3;8;12;13;16;24;42
2000-02-05;4;14;17;29;31;39;5
2000-02-02;7;18;19;25;30;33;8
2000-01-29;11;24;27;29;32;37;12
2000-01-26;21;22;33;34;36;37;13
2000-01-22;2;11;18;21;28;40;9
2000-01-19;4;7;17;23;27;40;9
2000-01-15;15;16;19;21;25;39;22
2000-01-12;8;11;24;27;35;41;22
2000-01-08;2;9;23;24;31;35;16
2000-01-05;9;13;14;22;23;39;18
2000-01-01;9;19;22;39;41;42;17
