Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Bonus
2011-12-31;2;6;8;21;25;38;27
2011-12-28;8;13;16;23;35;42;1
2011-12-24;8;15;25;36;37;41;18
2011-12-21;5;23;26;32;36;38;37
2011-12-17;4;7;12;17;22;37;38
2011-12-14;10;13;17;35;37;40;20
2011-12-10;2;6;10;22;40;41;33
2011-12-07;3;4;9;11;38;39;42
2011-12-03;4;10;14;19;35;40;5
2011-11-30;6;8;10;27;29;44;17
2011-11-26;6;22;35;36;38;39;8
2011-11-23;4;6;9;12;33;45;3
2011-11-19;8;10;18;24;28;30;2
2011-11-16;16;18;20;22;35;40;1
2011-11-12;4;7;23;28;38;41;11
2011-11-09;8;22;24;31;42;45;28
2011-11-05;4;14;21;25;33;42;39
2011-11-02;2;3;18;21;31;35;7
2011-10-29;3;8;22;25;37;41;12
2011-10-26;3;9;14;15;28;30;17
2011-10-22;6;7;17;19;22;25;2
2011-10-19;12;14;16;18;21;41;15
2011-10-15;25;27;29;31;42;44;17
2011-10-12;2;11;18;20;39;42;24
2011-10-08;11;14;19;30;38;41;17
2011-10-05;17;18;20;23;24;41;1
2011-10-01;1;2;10;18;28;41;29
2011-09-28;1;5;17;18;26;41;23
2011-09-24;6;14;27;28;33;39;3
2011-09-21;4;7;26;27;28;30;17
2011-09-17;8;17;19;22;34;41;27
2011-09-14;9;19;24;25;26;31;23
2011-09-10;5;13;14;17;20;22;19
2011-09-07;3;6;9;32;33;37;13
2011-09-03;6;13;14;38;39;41;10
2011-08-31;9;13;21;22;23;34;31
2011-08-27;2;5;24;25;31;41;28
2011-08-24;16;17;19;30;40;42;35
2011-08-20;3;8;9;11;12;39;19
2011-08-17;1;5;26;32;33;36;11
2011-08-13;2;9;11;32;33;35;31
2011-08-10;2;18;20;28;30;33;27
2011-08-06;3;8;10;18;24;27;29
2011-08-03;1;2;13;19;24;38;14
2011-07-30;1;7;17;21;38;39;14
2011-07-27;10;12;18;28;29;31;9
2011-07-23;17;20;25;31;34;35;26
2011-07-20;1;5;8;12;14;16;33
2011-07-16;13;15;18;22;29;36;37
2011-07-13;11;12;18;20;24;36;22
2011-07-09;11;12;34;37;38;39;27
2011-07-06;1;4;6;8;15;32;3
2011-07-02;5;16;17;19;29;31;23
2011-06-29;16;21;26;31;39;41;29
2011-06-25;9;17;20;26;33;42;31
2011-06-22;8;16;28;33;34;38;32
2011-06-18;8;20;21;24;27;30;41
2011-06-15;4;27;32;34;38;40;21
2011-06-11;3;4;14;33;35;36;8
2011-06-08;8;16;20;28;30;38;27
2011-06-04;2;17;23;28;30;41;18
2011-06-01;3;6;16;20;38;41;21
2011-05-28;6;7;13;23;24;32;14
2011-05-25;11;14;21;32;35;39;1
2011-05-21;9;17;19;23;26;30;1
2011-05-18;11;27;28;31;38;41;35
2011-05-14;4;6;13;14;33;34;5
2011-05-11;14;16;31;37;38;42;15
2011-05-07;2;11;16;25;28;35;24
2011-05-04;8;12;18;20;22;27;31
2011-04-30;12;14;24;26;28;41;10
2011-04-27;17;18;23;32;35;42;36
2011-04-23;7;14;15;16;18;26;32
2011-04-20;1;7;14;20;39;41;29
2011-04-16;1;7;13;16;37;38;25
2011-04-13;7;12;17;21;28;32;9
2011-04-09;5;10;16;20;30;33;29
2011-04-06;2;4;7;18;22;36;11
2011-04-02;8;10;18;27;36;40;11
2011-03-30;11;12;19;23;27;42;28
2011-03-26;11;16;17;19;33;42;32
2011-03-23;3;7;12;22;26;36;9
2011-03-19;2;3;8;12;27;38;40
2011-03-16;2;6;11;22;27;41;19
2011-03-12;3;8;12;15;25;42;31
2011-03-09;7;15;18;22;25;31;26
2011-03-05;2;3;5;9;16;40;22
2011-03-02;2;6;13;19;27;31;15
2011-02-26;1;2;24;25;41;42;17
2011-02-23;4;7;12;28;38;42;25
2011-02-19;4;21;22;27;35;40;33
2011-02-16;8;21;25;29;33;34;12
2011-02-12;2;6;15;18;20;30;17
2011-02-09;2;4;8;21;23;37;24
2011-02-05;6;15;16;18;20;28;13
2011-02-02;5;7;17;18;33;38;28
2011-01-29;7;17;28;29;40;42;41
2011-01-26;2;3;17;30;33;36;42
2011-01-22;16;17;18;30;34;35;15
2011-01-19;17;22;28;32;33;40;8
2011-01-15;3;6;17;27;32;37;39
2011-01-12;9;10;13;24;38;42;26
2011-01-08;3;7;14;15;33;34;23
2011-01-05;17;19;21;30;35;40;11
2011-01-01;2;16;17;22;23;27;9
