Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Bonus
2007-12-29;16;22;25;26;29;39;21
2007-12-26;2;4;9;13;22;27;33
2007-12-22;7;11;21;22;28;40;24
2007-12-19;2;12;16;20;33;38;35
2007-12-15;6;8;20;22;29;38;24
2007-12-12;13;15;20;24;25;42;16
2007-12-08;2;10;19;26;38;41;32
2007-12-05;2;4;5;28;37;42;38
2007-12-01;2;5;19;28;32;35;17
2007-11-28;8;10;15;22;37;38;30
2007-11-24;16;22;26;32;33;40;24
2007-11-21;4;8;11;24;26;41;3
2007-11-17;4;20;23;30;33;37;11
2007-11-14;2;14;17;18;23;41;13
2007-11-10;2;4;10;18;39;40;23
2007-11-07;6;9;16;25;34;39;23
2007-11-03;2;13;25;35;38;40;3
2007-10-31;1;7;24;30;31;35;39
2007-10-27;5;7;15;36;37;38;13
2007-10-24;4;11;21;35;36;38;19
2007-10-20;3;5;10;21;34;41;29
2007-10-17;20;29;35;36;39;40;30
2007-10-13;6;12;15;32;34;40;30
2007-10-10;11;16;18;29;31;34;40
2007-10-06;2;5;23;25;30;42;40
2007-10-03;2;4;12;14;20;26;34
2007-09-29;1;6;15;22;28;29;21
2007-09-26;3;4;18;23;32;33;16
2007-09-22;8;20;28;29;34;35;5
2007-09-19;15;17;27;31;39;41;3
2007-09-15;6;8;13;15;29;32;41
2007-09-12;2;3;12;17;22;23;11
2007-09-08;2;9;14;26;29;33;20
2007-09-05;3;4;12;15;34;41;22
2007-09-01;8;13;17;32;33;42;26
2007-08-29;11;18;19;32;40;41;1
2007-08-25;11;16;31;38;39;40;36
2007-08-22;3;5;10;23;32;42;4
2007-08-18;4;6;21;23;34;39;7
2007-08-15;15;31;34;36;38;39;37
2007-08-11;2;18;31;33;36;39;21
2007-08-08;7;8;10;31;34;37;16
2007-08-04;1;3;7;10;32;39;18
2007-08-01;2;4;11;29;31;38;14
2007-07-28;6;7;27;34;35;40;21
2007-07-25;2;11;12;14;27;28;26
2007-07-21;5;9;10;17;18;25;39
2007-07-18;2;12;18;19;35;38;23
2007-07-14;1;5;10;13;40;41;21
2007-07-11;3;9;20;24;36;39;34
2007-07-07;5;6;9;11;21;35;12
2007-07-04;1;4;8;17;22;26;13
2007-06-30;2;15;23;33;38;40;24
2007-06-27;7;20;25;27;33;42;2
2007-06-23;4;6;10;26;28;30;22
2007-06-20;3;7;9;14;18;22;27
2007-06-16;20;21;22;23;24;42;31
2007-06-13;15;18;26;31;35;37;12
2007-06-09;3;16;20;31;32;33;29
2007-06-06;1;15;17;19;27;37;16
2007-06-02;5;6;8;13;32;38;26
2007-05-30;17;18;19;22;35;36;1
2007-05-26;4;13;15;34;36;37;7
2007-05-23;2;24;28;29;35;37;23
2007-05-19;5;8;13;19;25;27;6
2007-05-16;12;13;22;31;33;42;17
2007-05-12;4;13;22;27;35;42;7
2007-05-09;10;25;33;37;38;39;19
2007-05-05;6;20;22;26;27;28;33
2007-05-02;5;15;22;26;33;36;31
2007-04-28;16;23;25;29;38;39;2
2007-04-25;3;12;13;22;37;38;2
2007-04-21;6;11;19;26;27;28;3
2007-04-18;5;16;17;26;38;40;28
2007-04-14;3;6;13;27;34;41;31
2007-04-11;16;21;25;29;38;40;23
2007-04-07;22;23;27;31;39;40;4
2007-04-04;6;7;11;13;25;40;1
2007-03-31;4;10;29;37;38;42;22
2007-03-28;5;31;32;34;35;38;27
2007-03-24;13;19;27;28;39;40;16
2007-03-21;6;9;22;25;26;42;19
2007-03-17;2;3;6;10;31;38;8
2007-03-14;2;32;33;34;41;42;15
2007-03-10;2;3;8;33;34;36;5
2007-03-07;5;10;11;15;24;35;19
2007-03-03;9;13;22;28;38;41;3
2007-02-28;4;16;18;21;22;33;5
2007-02-24;2;9;11;19;30;33;20
2007-02-21;3;4;8;18;33;42;19
2007-02-17;9;10;24;26;31;34;4
2007-02-14;10;11;13;22;36;40;4
2007-02-10;12;24;25;32;34;41;36
2007-02-07;11;14;15;28;33;40;17
2007-02-03;4;8;13;31;38;41;29
2007-01-31;3;7;14;38;39;41;11
2007-01-27;6;18;19;24;25;29;2
2007-01-24;2;4;10;22;28;34;36
2007-01-20;9;10;26;27;33;40;37
2007-01-17;5;10;20;22;28;31;19
2007-01-13;7;11;31;34;35;37;17
2007-01-10;4;8;20;28;39;40;2
2007-01-06;6;10;11;21;24;37;15
2007-01-03;17;18;19;22;26;27;13
