Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Bonus
2016-12-31;1;4;7;13;35;40;15
2016-12-28;1;11;15;16;24;25;30
2016-12-24;5;11;18;20;36;37;1
2016-12-21;1;15;18;31;38;45;17
2016-12-17;4;10;26;32;34;43;35
2016-12-14;2;16;25;32;33;36;14
2016-12-10;5;8;14;20;22;36;3
2016-12-07;21;25;27;33;36;41;45
2016-12-03;5;12;17;22;36;44;10
2016-11-30;2;4;16;20;34;44;25
2016-11-26;4;26;27;29;36;38;9
2016-11-23;15;18;23;27;30;45;33
2016-11-19;1;17;20;21;24;44;35
2016-11-16;6;11;12;36;41;45;4
2016-11-12;5;16;30;31;40;42;43
2016-11-09;1;6;11;28;30;33;4
2016-11-05;9;12;14;16;41;45;27
2016-11-02;12;17;18;21;36;43;37
2016-10-29;3;17;29;38;39;43;4
2016-10-26;1;3;9;27;30;45;18
2016-10-22;1;4;12;16;18;22;11
2016-10-19;13;19;27;31;37;45;33
2016-10-15;13;16;32;34;43;45;6
2016-10-12;3;8;19;21;39;40;38
2016-10-08;19;23;27;29;41;43;12
2016-10-05;7;8;19;21;30;37;26
2016-10-01;3;7;8;12;33;44;1
2016-09-28;17;18;29;34;41;42;7
2016-09-24;11;35;36;37;41;43;38
2016-09-21;14;18;35;41;42;44;2
2016-09-17;11;15;17;29;34;38;20
2016-09-14;6;7;14;34;40;43;27
2016-09-10;5;12;35;41;42;43;21
2016-09-07;15;19;21;29;37;38;5
2016-09-03;6;8;21;26;32;36;41
2016-08-31;3;28;31;35;37;45;27
2016-08-27;13;17;18;24;32;36;12
2016-08-24;6;12;16;17;29;33;18
2016-08-20;3;13;14;15;20;44;2
2016-08-17;12;14;15;18;41;44;3
2016-08-13;2;4;5;13;14;17;27
2016-08-10;3;29;33;37;44;45;5
2016-08-06;3;17;20;22;35;38;25
2016-08-03;12;14;23;24;28;36;27
2016-07-30;8;10;11;24;27;35;18
2016-07-27;8;13;14;35;36;38;39
2016-07-23;8;27;33;38;40;45;9
2016-07-20;21;28;29;40;42;43;45
2016-07-16;6;7;9;18;39;40;36
2016-07-13;2;3;10;19;36;37;30
2016-07-09;5;6;10;12;23;28;38
2016-07-06;3;7;25;29;36;38;41
2016-07-02;3;5;24;32;38;43;17
2016-06-29;3;18;26;30;34;41;20
2016-06-25;8;15;21;25;27;42;26
2016-06-22;10;15;18;26;30;33;44
2016-06-18;18;24;26;29;36;39;30
2016-06-15;5;21;27;34;35;45;9
2016-06-11;11;15;19;25;30;35;22
2016-06-08;7;13;18;21;29;35;38
2016-06-04;11;21;25;26;30;39;9
2016-06-01;5;9;16;23;37;43;39
2016-05-28;9;10;12;16;17;23;14
2016-05-25;9;12;27;29;35;40;10
2016-05-21;4;19;25;28;37;44;30
2016-05-18;3;10;14;20;32;39;30
2016-05-14;1;9;19;21;28;29;24
2016-05-11;7;17;21;24;31;37;19
2016-05-07;4;13;19;20;22;26;1
2016-05-04;15;16;22;38;39;44;27
2016-04-30;14;25;27;38;43;44;22
2016-04-27;1;5;20;25;38;42;36
2016-04-23;2;4;9;30;32;40;38
2016-04-20;4;5;10;15;43;45;3
2016-04-16;4;5;14;16;25;32;22
2016-04-13;6;18;29;36;38;43;19
2016-04-09;11;13;21;22;25;26;40
2016-04-06;1;11;12;15;25;28;6
2016-04-02;10;23;31;33;37;41;14
2016-03-30;14;19;30;35;36;39;42
2016-03-26;12;13;18;27;29;33;9
2016-03-23;5;17;19;24;31;40;15
2016-03-19;10;11;23;25;34;41;43
2016-03-16;6;8;17;26;31;38;23
2016-03-12;4;11;13;19;23;44;43
2016-03-09;3;14;25;29;42;44;33
2016-03-05;3;5;6;9;36;40;21
2016-03-02;6;24;28;31;41;43;12
2016-02-27;1;16;30;31;35;39;28
2016-02-24;1;4;6;22;25;33;5
2016-02-20;1;17;25;27;31;42;43
2016-02-17;3;24;25;28;38;45;30
2016-02-13;6;17;21;32;34;44;26
2016-02-10;9;10;11;25;33;45;12
2016-02-06;1;9;21;30;39;41;20
2016-02-03;6;11;23;24;29;38;20
2016-01-30;13;17;20;30;31;36;41
2016-01-27;1;2;4;28;29;36;13
2016-01-23;1;3;6;10;21;42;27
2016-01-20;22;29;30;32;34;38;42
2016-01-16;18;25;26;30;33;38;42
2016-01-13;12;21;26;28;40;42;10
2016-01-09;1;2;5;8;15;16;13
2016-01-06;8;10;23;25;27;36;40
2016-01-02;3;14;16;17;30;36;33
