Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Bonus
2018-12-29;4;6;12;13;21;41;27
2018-12-26;14;23;29;42;43;44;22
2018-12-22;5;18;22;27;31;34;14
2018-12-19;1;12;16;25;26;42;32
2018-12-15;9;19;20;25;38;42;7
2018-12-12;3;5;27;30;31;43;33
2018-12-08;1;2;13;19;37;42;43
2018-12-05;2;13;19;37;38;40;39
2018-12-01;3;12;13;14;28;44;37
2018-11-28;2;3;5;9;18;19;37
2018-11-24;24;26;34;42;43;45;32
2018-11-21;4;6;25;28;34;45;43
2018-11-17;5;6;9;17;29;34;21
2018-11-14;5;27;29;30;38;43;40
2018-11-10;5;16;19;30;42;43;28
2018-11-07;5;12;13;14;29;41;34
2018-11-03;1;18;23;30;32;41;14
2018-10-31;6;7;10;17;18;39;23
2018-10-27;5;7;10;24;37;45;31
2018-10-24;8;10;12;18;20;29;15
2018-10-20;4;17;19;23;27;45;6
2018-10-17;3;7;12;31;34;37;4
2018-10-13;5;11;25;28;30;38;37
2018-10-10;7;9;18;23;24;33;16
2018-10-06;14;22;25;40;41;42;26
2018-10-03;2;11;12;20;29;44;15
2018-09-29;8;27;28;35;41;45;17
2018-09-26;14;19;28;32;42;43;27
2018-09-22;3;5;12;19;28;34;11
2018-09-19;3;5;20;22;28;45;23
2018-09-15;9;12;19;21;33;42;45
2018-09-12;1;12;15;16;24;42;26
2018-09-08;2;7;14;26;32;43;45
2018-09-05;7;13;14;17;20;38;2
2018-09-01;9;28;29;32;38;45;18
2018-08-29;7;22;24;31;39;43;12
2018-08-25;5;8;14;21;24;28;3
2018-08-22;2;19;21;36;39;40;35
2018-08-18;7;17;31;32;43;44;25
2018-08-15;15;19;32;35;39;44;13
2018-08-11;22;33;36;39;42;44;15
2018-08-08;4;7;11;17;26;33;2
2018-08-04;8;10;26;29;33;41;2
2018-08-01;16;18;19;36;37;42;22
2018-07-28;7;12;20;28;35;42;31
2018-07-25;16;24;31;34;36;45;38
2018-07-21;8;9;32;34;37;43;19
2018-07-18;1;29;30;39;40;44;8
2018-07-14;21;22;34;43;44;45;3
2018-07-11;4;11;12;14;40;44;24
2018-07-07;4;17;18;21;25;31;10
2018-07-04;16;33;38;39;42;44;7
2018-06-30;8;10;16;24;36;39;4
2018-06-27;7;10;14;16;23;26;20
2018-06-23;5;12;29;37;41;45;35
2018-06-20;19;20;30;34;35;37;25
2018-06-16;3;7;10;11;12;38;24
2018-06-13;1;20;27;28;29;34;19
2018-06-09;15;22;23;27;40;43;30
2018-06-06;9;13;19;33;38;43;16
2018-06-02;6;19;20;24;44;45;31
2018-05-30;3;8;15;28;33;36;17
2018-05-26;5;10;12;28;31;41;45
2018-05-23;5;11;13;18;31;41;17
2018-05-19;7;13;14;19;25;45;12
2018-05-16;6;8;23;35;36;42;18
2018-05-12;9;13;16;17;25;37;24
2018-05-09;12;14;17;22;24;38;3
2018-05-05;4;7;12;23;27;45;14
2018-05-02;3;5;34;35;40;41;44
2018-04-28;17;18;25;33;34;38;16
2018-04-25;4;19;25;33;41;43;38
2018-04-21;15;17;26;37;41;43;32
2018-04-18;2;6;16;31;36;42;1
2018-04-14;10;12;14;28;32;45;6
2018-04-11;1;6;8;12;34;37;17
2018-04-07;4;11;15;29;30;38;21
2018-04-04;4;5;11;32;33;41;23
2018-03-31;11;13;18;25;28;44;35
2018-03-28;3;16;17;19;32;41;12
2018-03-24;16;24;37;38;39;41;5
2018-03-21;9;16;24;32;39;42;5
2018-03-17;1;2;3;22;34;37;26
2018-03-14;1;9;21;26;29;44;24
2018-03-10;14;15;20;31;35;39;40
2018-03-07;3;4;7;15;32;42;28
2018-03-03;19;22;35;39;40;44;25
2018-02-28;11;17;24;28;35;43;6
2018-02-24;9;22;26;30;32;42;10
2018-02-21;1;33;39;40;43;45;16
2018-02-17;1;12;26;32;35;36;42
2018-02-14;2;7;8;16;30;43;5
2018-02-10;1;2;10;12;37;45;24
2018-02-07;3;15;30;33;34;37;1
2018-02-03;4;7;13;27;28;29;30
2018-01-31;5;12;18;19;29;44;8
2018-01-27;4;12;15;25;36;38;31
2018-01-24;9;15;18;27;32;39;11
2018-01-20;1;10;18;19;27;40;13
2018-01-17;4;6;13;14;35;37;10
2018-01-13;20;24;26;27;28;37;12
2018-01-10;3;16;22;25;31;39;4
2018-01-06;11;16;21;40;41;43;33
2018-01-03;33;34;36;38;41;42;6
