Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Bonus
2013-12-28;7;25;31;35;36;44;40
2013-12-25;12;16;24;28;34;45;5
2013-12-21;21;22;23;24;25;38;19
2013-12-18;1;19;28;34;35;45;9
2013-12-14;10;13;19;28;38;43;7
2013-12-11;5;13;28;35;36;44;30
2013-12-07;13;16;20;21;25;40;41
2013-12-04;8;14;23;24;28;31;35
2013-11-30;15;17;20;27;38;40;24
2013-11-27;6;8;16;30;36;37;3
2013-11-23;20;28;36;38;40;45;15
2013-11-20;3;9;12;25;26;35;43
2013-11-16;6;9;14;34;38;43;5
2013-11-13;8;15;27;28;41;43;20
2013-11-09;8;17;21;25;26;41;27
2013-11-06;1;2;15;35;38;42;31
2013-11-02;3;17;27;33;38;45;32
2013-10-30;4;16;19;24;35;41;18
2013-10-26;16;18;25;29;35;45;5
2013-10-23;3;7;14;17;25;43;12
2013-10-19;1;18;21;24;26;32;45
2013-10-16;3;10;17;24;26;38;5
2013-10-12;2;11;19;21;31;40;37
2013-10-09;2;3;10;13;29;34;25
2013-10-05;1;7;15;24;32;33;38
2013-10-02;13;18;19;33;40;42;45
2013-09-28;15;25;29;36;41;44;37
2013-09-25;3;5;6;16;28;39;40
2013-09-21;2;4;6;11;39;42;37
2013-09-18;5;9;17;22;25;40;8
2013-09-14;9;12;15;27;30;32;8
2013-09-11;5;8;20;33;38;42;27
2013-09-07;1;3;15;20;25;36;17
2013-09-04;13;20;22;35;37;42;40
2013-08-31;20;21;22;27;33;36;11
2013-08-28;10;20;26;30;41;42;19
2013-08-24;3;10;14;28;37;45;34
2013-08-21;11;25;30;34;38;43;21
2013-08-17;2;5;8;26;28;34;3
2013-08-14;9;13;24;32;34;35;26
2013-08-10;3;8;9;18;30;36;14
2013-08-07;7;11;21;28;32;38;6
2013-08-03;14;16;23;27;28;41;35
2013-07-31;5;8;15;35;38;44;3
2013-07-27;5;13;22;26;39;42;40
2013-07-24;5;9;19;20;37;42;29
2013-07-20;3;20;22;31;40;44;23
2013-07-17;22;26;29;35;42;43;2
2013-07-13;6;8;13;15;27;40;5
2013-07-10;8;12;16;28;41;43;38
2013-07-06;2;12;22;29;31;34;4
2013-07-03;10;17;19;35;38;43;21
2013-06-29;3;7;13;18;41;44;20
2013-06-26;1;10;11;14;37;41;21
2013-06-22;1;16;19;21;30;40;24
2013-06-19;1;11;15;17;20;28;27
2013-06-15;4;8;12;38;40;45;11
2013-06-12;11;22;24;39;40;43;25
2013-06-08;8;10;16;22;23;34;19
2013-06-05;6;17;21;27;38;42;26
2013-06-01;6;9;22;36;40;43;24
2013-05-29;7;26;33;39;41;44;18
2013-05-25;2;8;19;28;36;39;14
2013-05-22;3;9;25;37;41;45;38
2013-05-18;12;15;20;28;33;43;18
2013-05-15;13;19;26;27;31;35;2
2013-05-11;2;7;14;33;43;44;27
2013-05-08;4;5;14;28;43;45;40
2013-05-04;11;25;27;36;40;42;28
2013-05-01;1;13;26;28;36;40;29
2013-04-27;17;27;28;31;43;45;34
2013-04-24;21;23;25;36;38;45;14
2013-04-20;3;5;15;28;43;45;38
2013-04-17;3;12;14;35;41;42;21
2013-04-13;13;21;24;34;35;39;2
2013-04-10;5;13;14;19;26;37;40
2013-04-06;1;10;18;21;31;37;11
2013-04-03;2;11;13;16;26;42;17
2013-03-30;3;9;15;27;33;41;20
2013-03-27;1;9;13;14;20;37;28
2013-03-23;6;15;19;23;24;39;1
2013-03-20;17;18;20;22;23;35;44
2013-03-16;3;4;15;30;33;41;27
2013-03-13;14;20;21;24;27;35;7
2013-03-09;25;37;39;40;41;42;22
2013-03-06;8;10;12;23;39;44;29
2013-03-02;1;12;21;22;35;39;18
2013-02-27;18;24;26;29;36;37;43
2013-02-23;1;19;26;38;42;45;5
2013-02-20;1;4;14;19;31;40;15
2013-02-16;10;20;23;38;43;44;12
2013-02-13;12;26;31;34;43;45;8
2013-02-09;24;29;32;33;36;37;38
2013-02-06;2;18;21;35;36;38;24
2013-02-02;3;4;7;22;29;35;40
2013-01-30;15;19;21;33;36;40;18
2013-01-26;16;20;32;34;36;38;5
2013-01-23;15;29;34;35;37;42;30
2013-01-19;4;7;16;21;23;31;1
2013-01-16;4;12;14;34;43;45;31
2013-01-12;8;20;24;32;34;40;45
2013-01-09;11;12;15;28;33;41;18
2013-01-05;2;14;16;28;32;45;27
2013-01-02;6;17;19;25;26;36;8
