Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Bonus
2014-12-31;1;7;14;18;38;40;33
2014-12-27;2;5;9;26;31;36;45
2014-12-24;5;14;15;27;30;41;35
2014-12-20;7;10;11;18;24;39;1
2014-12-17;3;6;10;26;31;32;16
2014-12-13;16;21;25;32;36;45;42
2014-12-10;17;27;29;36;39;40;13
2014-12-06;1;9;18;20;28;30;15
2014-12-03;2;6;8;9;28;39;25
2014-11-29;11;22;28;29;42;43;38
2014-11-26;12;23;24;27;30;32;31
2014-11-22;4;10;11;19;27;37;7
2014-11-19;1;12;21;28;36;43;2
2014-11-15;5;17;19;29;35;41;33
2014-11-12;10;16;21;27;42;45;12
2014-11-08;6;11;14;15;22;43;7
2014-11-05;6;9;12;19;30;36;14
2014-11-01;12;24;26;27;28;43;34
2014-10-29;9;10;13;16;38;45;24
2014-10-25;10;20;23;30;36;44;1
2014-10-22;7;11;14;16;31;38;26
2014-10-18;7;11;15;16;20;24;28
2014-10-15;7;9;12;13;28;29;8
2014-10-11;14;20;35;38;39;41;7
2014-10-08;1;16;27;32;33;44;39
2014-10-04;5;7;18;26;37;44;42
2014-10-01;12;24;30;38;40;41;18
2014-09-27;14;18;22;29;35;37;42
2014-09-24;3;19;20;25;28;30;31
2014-09-20;7;8;17;18;33;45;39
2014-09-17;4;16;24;31;42;44;23
2014-09-13;7;10;26;30;39;45;36
2014-09-10;1;17;19;24;40;44;9
2014-09-06;1;4;17;20;22;28;37
2014-09-03;1;5;10;17;25;31;15
2014-08-30;9;10;13;16;18;43;31
2014-08-27;2;14;15;25;31;40;13
2014-08-23;4;7;10;19;31;38;28
2014-08-20;2;6;7;13;25;41;24
2014-08-16;13;18;28;29;35;36;21
2014-08-13;2;10;12;22;24;31;26
2014-08-09;4;7;15;21;29;34;8
2014-08-06;3;20;24;31;32;38;12
2014-08-02;16;18;25;35;44;45;6
2014-07-30;5;9;12;19;42;45;7
2014-07-26;17;18;19;25;33;40;5
2014-07-23;13;27;32;37;42;44;10
2014-07-19;30;37;38;40;41;45;13
2014-07-16;6;12;18;20;28;40;7
2014-07-12;3;20;22;32;35;36;1
2014-07-09;5;10;14;16;29;41;42
2014-07-05;13;17;19;25;38;45;43
2014-07-02;9;10;12;15;33;42;24
2014-06-28;11;16;20;23;25;30;35
2014-06-25;3;6;8;17;20;37;4
2014-06-21;4;19;24;32;35;38;20
2014-06-18;5;24;29;33;39;40;45
2014-06-14;14;22;27;37;39;40;41
2014-06-11;10;17;18;26;36;43;7
2014-06-07;1;10;24;33;37;38;29
2014-06-04;13;16;24;25;38;43;23
2014-05-31;4;7;39;41;42;45;30
2014-05-28;16;17;36;40;41;42;2
2014-05-24;2;4;16;39;43;45;34
2014-05-21;2;8;9;19;30;43;40
2014-05-17;4;5;15;27;30;38;14
2014-05-14;2;6;11;15;18;20;1
2014-05-10;7;11;12;14;20;31;4
2014-05-07;5;20;22;30;31;41;35
2014-05-03;14;15;18;20;27;29;9
2014-04-30;1;9;16;17;32;33;2
2014-04-26;3;12;24;32;35;42;17
2014-04-23;7;16;22;23;25;32;14
2014-04-19;5;30;35;39;41;44;26
2014-04-16;3;11;20;26;38;43;30
2014-04-12;1;2;3;7;9;29;12
2014-04-09;1;6;11;20;41;42;19
2014-04-05;2;12;16;30;41;44;38
2014-04-02;2;5;9;20;21;25;8
2014-03-29;8;13;22;33;34;39;2
2014-03-26;7;8;14;26;28;45;25
2014-03-22;2;7;13;16;25;26;19
2014-03-19;3;5;15;26;38;43;13
2014-03-15;1;9;19;27;30;42;8
2014-03-12;1;5;8;17;25;37;40
2014-03-08;14;16;19;21;23;37;34
2014-03-05;11;12;26;33;36;39;27
2014-03-01;3;17;28;29;34;40;33
2014-02-26;9;10;34;35;36;38;40
2014-02-22;2;6;11;14;18;23;25
2014-02-19;19;23;26;31;41;42;21
2014-02-15;3;4;21;25;26;41;7
2014-02-12;1;18;28;29;33;45;17
2014-02-08;7;21;25;26;27;36;14
2014-02-05;4;15;23;31;32;39;18
2014-02-01;10;12;17;20;41;45;36
2014-01-29;10;11;16;21;32;43;26
2014-01-25;13;15;16;23;28;33;35
2014-01-22;4;9;27;34;37;38;11
2014-01-18;5;21;24;37;39;41;30
2014-01-15;6;9;12;20;34;44;33
2014-01-11;1;5;7;28;36;45;27
2014-01-08;4;9;11;17;39;42;20
2014-01-04;5;6;21;22;23;37;15
2014-01-01;2;7;9;29;35;36;17
