Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Bonus
2019-12-28;2;4;13;14;24;43;39
2019-12-25;8;18;31;34;36;38;16
2019-12-21;5;11;12;16;22;29;7
2019-12-18;10;18;23;26;27;36;39
2019-12-14;4;9;20;32;44;45;35
2019-12-11;3;6;8;19;25;42;11
2019-12-07;4;10;34;39;41;44;24
2019-12-04;18;25;27;34;41;42;30
2019-11-30;9;21;28;30;34;45;38
2019-11-27;4;14;17;28;29;43;24
2019-11-23;3;4;9;29;31;41;21
2019-11-20;12;28;31;35;38;41;39
2019-11-16;2;10;21;22;27;40;30
2019-11-13;6;11;21;23;29;31;42
2019-11-09;1;12;26;30;37;38;21
2019-11-06;1;7;12;18;26;42;37
2019-11-02;5;22;26;27;34;39;1
2019-10-30;8;19;32;33;35;40;38
2019-10-26;1;6;11;15;28;45;41
2019-10-23;10;14;24;26;28;31;15
2019-10-19;3;13;24;30;33;34;45
2019-10-16;2;6;13;34;38;45;20
2019-10-12;6;8;9;14;40;44;30
2019-10-09;11;13;19;24;34;41;14
2019-10-05;2;14;21;30;38;40;17
2019-10-02;12;17;30;31;37;42;32
2019-09-28;3;7;17;22;29;38;30
2019-09-25;6;10;18;27;31;39;11
2019-09-21;3;19;20;24;33;44;25
2019-09-18;9;11;13;20;31;35;14
2019-09-14;13;23;28;32;40;41;8
2019-09-11;11;12;18;24;29;34;1
2019-09-07;2;18;20;26;27;39;44
2019-09-04;11;15;17;35;36;44;3
2019-08-31;3;8;22;23;26;34;45
2019-08-28;4;5;6;14;16;33;1
2019-08-24;6;8;11;19;24;32;35
2019-08-21;4;5;19;20;25;34;36
2019-08-17;7;12;16;19;26;41;40
2019-08-14;11;14;21;34;36;40;32
2019-08-10;1;11;16;18;26;43;17
2019-08-07;18;19;23;34;35;41;25
2019-08-03;4;15;24;25;27;33;30
2019-07-31;8;16;17;24;25;26;4
2019-07-27;10;28;35;41;42;43;34
2019-07-24;10;11;18;31;44;45;8
2019-07-20;2;8;17;29;33;35;30
2019-07-17;8;18;22;35;37;45;10
2019-07-13;1;5;15;18;25;33;42
2019-07-10;5;7;17;18;20;31;1
2019-07-06;7;15;23;27;30;37;41
2019-07-03;1;2;15;19;23;24;20
2019-06-29;16;18;25;28;30;31;8
2019-06-26;1;20;22;38;39;40;31
2019-06-22;2;6;8;14;30;38;43
2019-06-19;5;14;19;24;40;45;26
2019-06-15;10;12;17;22;28;34;45
2019-06-12;2;6;10;17;26;37;28
2019-06-08;2;7;30;37;39;40;25
2019-06-05;7;11;12;27;28;39;45
2019-06-01;3;10;27;32;35;44;9
2019-05-29;2;8;16;24;30;45;14
2019-05-25;19;22;24;27;36;37;20
2019-05-22;8;19;25;27;30;43;20
2019-05-18;3;8;10;27;33;41;2
2019-05-15;20;26;29;31;40;44;21
2019-05-11;1;14;19;21;25;31;40
2019-05-08;9;10;14;15;36;42;3
2019-05-04;3;5;19;25;35;40;34
2019-05-01;1;10;31;35;38;43;5
2019-04-27;16;20;34;35;43;44;11
2019-04-24;1;5;12;27;38;43;39
2019-04-20;16;31;32;35;39;42;3
2019-04-17;4;5;19;27;35;44;16
2019-04-13;3;16;21;25;27;35;44
2019-04-10;12;29;32;33;37;43;25
2019-04-06;5;8;10;17;34;44;23
2019-04-03;5;7;12;21;26;35;37
2019-03-30;4;12;22;29;41;43;26
2019-03-27;6;12;27;32;33;45;41
2019-03-23;14;17;23;26;33;42;20
2019-03-20;17;22;36;39;41;42;15
2019-03-16;1;16;20;32;36;40;5
2019-03-13;9;15;21;23;29;34;4
2019-03-09;7;10;12;17;24;39;16
2019-03-06;29;30;34;40;41;42;17
2019-03-02;5;11;20;25;34;43;31
2019-02-27;20;31;33;35;36;39;40
2019-02-23;3;25;28;32;40;43;29
2019-02-20;4;10;16;22;28;36;40
2019-02-16;2;6;22;32;39;40;24
2019-02-13;4;11;27;29;33;35;14
2019-02-09;11;12;15;22;42;43;45
2019-02-06;9;15;19;20;25;26;10
2019-02-02;3;8;10;39;40;43;30
2019-01-30;4;12;15;19;23;34;2
2019-01-26;7;8;17;26;30;42;13
2019-01-23;3;7;13;18;29;38;32
2019-01-19;13;15;16;24;25;33;19
2019-01-16;4;16;33;37;42;44;9
2019-01-12;24;29;33;42;43;45;12
2019-01-09;3;7;12;19;31;32;15
2019-01-05;9;15;22;24;38;44;16
2019-01-02;7;15;21;28;36;38;44
