Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Bonus
2021-12-29;4;10;11;18;19;23;13
2021-12-25;4;9;10;18;26;45;20
2021-12-22;8;19;22;25;26;36;18
2021-12-18;5;27;35;37;43;44;19
2021-12-15;1;24;27;31;34;44;32
2021-12-11;1;10;24;29;37;38;33
2021-12-08;13;18;33;38;40;44;1
2021-12-04;1;5;6;10;18;45;13
2021-12-01;11;13;18;24;40;42;8
2021-11-27;1;7;15;23;26;34;42
2021-11-24;3;9;14;20;27;40;23
2021-11-20;7;14;34;35;42;44;11
2021-11-17;6;13;20;28;34;40;12
2021-11-13;5;15;19;20;22;27;28
2021-11-10;11;12;23;28;39;44;21
2021-11-06;8;9;14;34;36;44;29
2021-11-03;2;6;13;14;28;38;20
2021-10-30;17;20;24;30;35;37;43
2021-10-27;8;10;34;42;43;44;39
2021-10-23;6;9;16;18;26;35;3
2021-10-20;6;25;33;34;37;45;30
2021-10-16;6;7;19;29;39;40;28
2021-10-13;13;18;20;26;35;38;10
2021-10-09;2;5;9;17;22;43;28
2021-10-06;26;30;35;37;42;43;36
2021-10-02;1;9;14;20;25;29;37
2021-09-29;11;21;30;35;39;42;43
2021-09-25;11;13;23;25;27;45;9
2021-09-22;2;16;18;22;23;31;25
2021-09-18;5;8;16;18;25;44;7
2021-09-15;1;7;8;25;37;41;43
2021-09-11;4;13;28;29;32;34;16
2021-09-08;5;14;16;18;24;44;33
2021-09-04;2;7;22;25;28;33;21
2021-09-01;2;8;14;17;30;33;45
2021-08-28;12;13;15;19;35;37;36
2021-08-25;1;5;10;12;22;28;37
2021-08-21;8;22;23;24;38;41;6
2021-08-18;7;24;33;37;43;44;42
2021-08-14;5;10;22;24;25;27;20
2021-08-11;8;20;31;32;38;40;16
2021-08-07;6;29;32;35;36;38;26
2021-08-04;5;8;22;25;28;43;39
2021-07-31;3;6;9;20;25;29;17
2021-07-28;5;20;24;30;39;44;42
2021-07-24;3;7;9;11;19;25;31
2021-07-21;1;6;10;11;30;45;2
2021-07-17;12;14;20;28;30;38;23
2021-07-14;7;9;11;24;30;45;13
2021-07-10;4;8;19;28;40;44;13
2021-07-07;2;3;5;6;12;26;17
2021-07-03;6;9;17;18;30;31;13
2021-06-30;7;12;14;34;36;40;27
2021-06-26;7;12;27;38;42;43;44
2021-06-23;10;11;12;20;25;45;37
2021-06-19;1;7;18;33;35;41;32
2021-06-16;4;14;15;25;28;36;27
2021-06-12;8;23;24;28;37;38;9
2021-06-09;12;15;26;29;36;41;39
2021-06-05;1;5;6;9;15;41;44
2021-06-02;3;13;38;42;43;44;37
2021-05-29;6;11;23;26;33;44;21
2021-05-26;3;4;17;34;38;45;6
2021-05-22;3;4;11;16;20;39;7
2021-05-19;13;14;27;30;34;36;20
2021-05-15;6;16;19;27;29;35;37
2021-05-12;7;27;33;34;39;44;41
2021-05-08;3;11;12;33;40;44;29
2021-05-05;3;8;14;18;22;41;24
2021-05-01;2;12;16;26;35;36;17
2021-04-28;20;21;23;25;27;41;31
2021-04-24;10;11;17;27;30;37;21
2021-04-21;12;15;20;32;36;43;5
2021-04-17;3;4;11;12;15;44;36
2021-04-14;4;10;11;23;40;41;6
2021-04-10;2;7;23;28;40;45;35
2021-04-07;5;7;14;19;36;40;10
2021-04-03;16;21;24;27;29;40;41
2021-03-31;4;11;18;19;33;45;36
2021-03-27;6;9;29;38;39;41;11
2021-03-24;3;11;12;13;20;26;1
2021-03-20;4;8;26;27;39;42;30
2021-03-17;16;19;31;33;36;41;23
2021-03-13;1;11;16;33;36;45;25
2021-03-10;4;10;17;20;23;35;6
2021-03-06;7;8;20;26;27;45;12
2021-03-03;5;8;19;28;37;43;13
2021-02-27;11;14;31;33;42;43;18
2021-02-24;7;19;21;22;26;35;20
2021-02-20;2;6;9;18;26;39;1
2021-02-17;2;8;27;29;36;40;43
2021-02-13;7;8;20;24;38;41;31
2021-02-10;2;17;23;29;34;42;8
2021-02-06;2;10;23;27;32;40;1
2021-02-03;8;23;27;30;41;45;32
2021-01-30;2;11;16;19;23;24;32
2021-01-27;8;12;16;24;38;44;14
2021-01-23;4;7;14;16;18;40;43
2021-01-20;5;19;22;31;33;41;4
2021-01-16;10;18;23;26;40;42;20
2021-01-13;19;20;25;34;38;42;22
2021-01-09;1;3;12;18;25;32;43
2021-01-06;1;10;12;15;27;35;41
2021-01-02;1;9;13;15;28;39;26
