Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Bonus
2008-12-31;12;24;27;28;36;42;10
2008-12-27;7;8;11;12;19;25;4
2008-12-24;5;8;11;15;36;37;17
2008-12-20;18;22;28;31;33;36;5
2008-12-17;6;10;21;22;29;39;34
2008-12-13;6;12;13;24;34;41;15
2008-12-10;1;7;12;18;19;32;37
2008-12-06;5;12;13;18;28;32;6
2008-12-03;3;10;24;25;28;31;1
2008-11-29;7;23;27;31;33;38;41
2008-11-26;5;13;14;21;36;42;32
2008-11-22;27;28;29;31;36;41;39
2008-11-19;10;16;19;26;32;37;22
2008-11-15;3;9;10;14;21;29;36
2008-11-12;2;6;7;11;24;33;41
2008-11-08;5;8;15;18;35;41;12
2008-11-05;9;23;26;33;34;35;2
2008-11-01;4;19;22;24;27;41;40
2008-10-29;3;5;11;26;33;39;19
2008-10-25;7;8;11;16;28;30;3
2008-10-22;6;8;15;22;26;34;9
2008-10-18;12;16;18;23;30;36;17
2008-10-15;6;7;8;26;33;36;21
2008-10-11;3;18;21;25;36;42;28
2008-10-08;7;19;23;27;35;37;1
2008-10-04;7;10;12;16;40;41;2
2008-10-01;10;13;32;33;36;39;6
2008-09-27;13;23;27;29;33;40;28
2008-09-24;1;4;9;10;27;42;24
2008-09-20;2;5;12;22;23;37;6
2008-09-17;16;29;32;38;40;42;27
2008-09-13;3;4;20;22;27;42;10
2008-09-10;8;9;17;20;22;42;4
2008-09-06;3;12;21;28;36;40;30
2008-09-03;1;12;17;25;37;38;23
2008-08-30;2;3;8;16;19;32;40
2008-08-27;15;18;20;23;24;31;34
2008-08-23;1;11;17;33;34;39;23
2008-08-20;7;18;33;35;38;39;34
2008-08-16;6;7;16;21;26;31;41
2008-08-13;7;16;18;22;34;39;14
2008-08-09;10;12;15;27;36;42;11
2008-08-06;1;4;23;27;29;37;20
2008-08-02;2;11;14;27;29;33;32
2008-07-30;11;13;14;18;37;42;1
2008-07-26;7;16;21;27;30;31;6
2008-07-23;9;19;23;26;29;42;5
2008-07-19;1;5;6;17;25;28;34
2008-07-16;5;21;23;29;39;42;2
2008-07-12;5;12;20;23;32;39;25
2008-07-09;1;2;22;24;29;35;19
2008-07-05;2;5;6;9;11;13;12
2008-07-02;8;10;11;12;33;38;20
2008-06-28;2;4;5;7;17;38;11
2008-06-25;6;11;14;15;25;35;30
2008-06-21;1;3;4;9;22;31;40
2008-06-18;3;12;18;20;35;41;34
2008-06-14;1;11;23;24;31;35;41
2008-06-11;4;12;23;35;38;40;19
2008-06-07;4;5;13;18;25;38;30
2008-06-04;3;9;11;26;40;41;13
2008-05-31;3;16;23;24;39;41;22
2008-05-28;5;6;13;14;20;39;15
2008-05-24;5;7;23;26;29;32;16
2008-05-21;16;23;30;35;38;39;20
2008-05-17;8;13;24;28;30;41;36
2008-05-14;3;15;21;28;36;39;6
2008-05-10;12;19;33;36;39;41;22
2008-05-07;8;9;18;35;37;40;24
2008-05-03;9;15;19;20;34;35;12
2008-04-30;7;33;36;38;41;42;14
2008-04-26;16;22;23;27;29;36;38
2008-04-23;1;8;10;22;39;40;23
2008-04-19;6;10;12;13;14;36;25
2008-04-16;1;14;16;23;34;38;39
2008-04-12;3;7;8;21;28;32;36
2008-04-09;3;5;19;21;24;41;22
2008-04-05;8;11;13;21;27;39;7
2008-04-02;4;10;12;14;29;33;42
2008-03-29;13;15;31;35;37;38;27
2008-03-26;2;30;33;38;39;40;29
2008-03-22;5;8;12;15;19;39;23
2008-03-19;2;7;21;26;29;40;15
2008-03-15;4;6;9;13;18;28;2
2008-03-12;17;18;20;25;30;37;22
2008-03-08;6;8;13;30;37;42;12
2008-03-05;9;25;31;32;35;36;12
2008-03-01;6;12;16;17;18;22;10
2008-02-27;1;3;16;17;22;28;27
2008-02-23;2;14;35;39;41;42;12
2008-02-20;6;8;11;12;27;40;26
2008-02-16;4;11;17;21;30;36;41
2008-02-13;9;13;16;26;27;42;1
2008-02-09;6;11;13;27;31;32;23
2008-02-06;3;6;7;12;13;15;38
2008-02-02;14;27;32;33;37;41;20
2008-01-30;1;5;11;29;33;36;25
2008-01-26;9;11;13;20;24;38;7
2008-01-23;6;14;19;26;39;41;30
2008-01-19;2;14;20;21;23;26;24
2008-01-16;13;17;23;28;29;37;21
2008-01-12;16;17;30;31;38;40;5
2008-01-09;11;12;14;20;30;36;23
2008-01-05;3;10;25;37;40;42;33
2008-01-02;3;11;15;18;26;29;13
