Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Bonus
2012-12-29;3;18;23;27;33;44;15
2012-12-26;2;18;19;21;22;33;9
2012-12-22;1;2;9;37;40;41;8
2012-12-19;11;15;16;23;29;37;5
2012-12-15;13;16;18;22;29;39;12
2012-12-12;1;10;23;33;43;45;32
2012-12-08;1;2;3;22;25;43;4
2012-12-05;10;15;16;17;32;45;41
2012-12-01;2;5;10;21;38;40;13
2012-11-28;14;18;25;27;28;32;21
2012-11-24;5;10;18;32;34;36;20
2012-11-21;1;25;32;38;40;42;45
2012-11-17;7;10;20;27;31;36;39
2012-11-14;24;26;29;31;32;41;10
2012-11-10;9;21;22;27;29;40;1
2012-11-07;18;21;24;28;40;43;41
2012-11-03;2;10;17;26;39;42;12
2012-10-31;10;14;24;28;35;36;6
2012-10-27;4;8;9;12;14;31;11
2012-10-24;4;26;30;31;37;41;21
2012-10-20;1;8;20;30;32;39;35
2012-10-17;12;16;20;28;33;45;35
2012-10-13;1;7;13;21;31;44;12
2012-10-10;15;16;21;36;44;45;27
2012-10-06;17;20;22;24;27;44;38
2012-10-03;3;12;17;29;31;39;21
2012-09-29;1;4;8;26;36;39;2
2012-09-26;1;10;11;14;24;27;18
2012-09-22;21;26;28;37;41;43;10
2012-09-19;5;19;21;28;32;36;11
2012-09-15;2;7;8;10;17;23;15
2012-09-12;4;7;18;21;38;44;39
2012-09-08;24;26;39;42;43;44;22
2012-09-05;9;16;18;27;36;39;41
2012-09-01;2;4;14;26;29;39;34
2012-08-29;4;6;16;26;30;40;44
2012-08-25;3;12;20;25;32;36;33
2012-08-22;2;19;20;36;41;44;9
2012-08-18;7;28;32;36;43;45;3
2012-08-15;12;19;20;38;40;42;15
2012-08-11;1;6;7;15;41;43;34
2012-08-08;8;13;17;37;38;43;18
2012-08-04;6;15;24;32;40;42;19
2012-08-01;10;15;19;36;40;43;23
2012-07-28;1;14;16;19;37;38;7
2012-07-25;16;25;28;30;37;38;12
2012-07-21;2;13;18;21;23;40;4
2012-07-18;14;15;17;24;36;38;30
2012-07-14;14;24;34;36;38;44;3
2012-07-11;8;9;31;33;39;43;30
2012-07-07;5;26;32;36;37;42;2
2012-07-04;3;5;7;10;31;43;19
2012-06-30;2;6;8;9;26;34;45
2012-06-27;1;4;6;14;23;34;16
2012-06-23;5;14;22;31;41;42;32
2012-06-20;11;23;27;38;40;42;44
2012-06-16;8;13;15;26;42;43;18
2012-06-13;1;4;9;34;38;41;37
2012-06-09;10;14;17;19;20;23;27
2012-06-06;7;15;16;25;33;43;19
2012-06-02;7;22;25;41;42;44;30
2012-05-30;13;14;17;20;28;35;24
2012-05-26;4;11;15;17;40;43;42
2012-05-23;11;14;21;29;30;40;28
2012-05-19;7;14;20;21;27;36;39
2012-05-16;19;30;31;36;38;40;7
2012-05-12;15;20;28;34;41;42;25
2012-05-09;8;15;16;17;25;45;6
2012-05-05;27;30;32;37;42;45;12
2012-05-02;14;23;24;29;39;41;25
2012-04-28;4;13;20;37;43;45;27
2012-04-25;6;9;27;28;40;43;3
2012-04-21;3;9;11;24;30;41;13
2012-04-18;8;13;19;21;33;36;34
2012-04-14;4;11;14;17;32;44;30
2012-04-11;3;5;9;15;18;28;11
2012-04-07;1;7;10;19;24;43;20
2012-04-04;5;13;16;22;25;39;9
2012-03-31;5;7;28;29;41;42;15
2012-03-28;11;13;29;35;38;42;8
2012-03-24;3;4;12;13;18;24;21
2012-03-21;6;20;27;28;37;38;2
2012-03-17;11;18;27;28;31;36;22
2012-03-14;8;13;19;33;38;43;4
2012-03-10;5;11;18;21;22;42;41
2012-03-07;24;27;31;33;42;45;14
2012-03-03;14;18;23;26;35;44;31
2012-02-29;5;15;21;23;25;31;34
2012-02-25;4;8;13;21;30;34;15
2012-02-22;8;13;18;23;27;33;12
2012-02-18;4;9;11;20;29;32;22
2012-02-15;2;7;11;12;22;38;45
2012-02-11;3;6;13;22;35;43;42
2012-02-08;15;35;37;39;41;45;33
2012-02-04;5;18;30;35;42;44;7
2012-02-01;2;6;7;20;31;39;19
2012-01-28;5;8;22;34;35;36;23
2012-01-25;4;8;19;23;27;33;36
2012-01-21;11;20;25;30;35;42;29
2012-01-18;5;6;21;28;29;42;33
2012-01-14;1;7;9;20;24;36;42
2012-01-11;5;12;17;32;39;43;7
2012-01-07;6;18;20;25;35;45;41
2012-01-04;2;10;26;27;36;42;25
