Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Bonus
2017-12-30;3;10;13;28;35;45;34
2017-12-27;5;6;25;28;30;43;22
2017-12-23;15;19;21;23;35;45;37
2017-12-20;4;8;9;17;24;40;13
2017-12-16;9;20;21;28;31;34;5
2017-12-13;3;5;17;19;40;41;8
2017-12-09;5;10;13;21;27;39;16
2017-12-06;19;21;26;38;39;43;24
2017-12-02;8;9;10;14;16;39;25
2017-11-29;7;11;14;21;31;36;41
2017-11-25;5;8;21;32;38;42;35
2017-11-22;1;11;15;28;34;44;19
2017-11-18;4;8;9;34;35;44;33
2017-11-15;3;16;24;26;31;38;45
2017-11-11;7;12;15;18;41;45;5
2017-11-08;6;9;14;19;43;45;18
2017-11-04;3;4;18;20;27;34;40
2017-11-01;1;6;15;16;25;33;45
2017-10-28;3;18;21;33;34;41;6
2017-10-25;7;14;21;27;31;43;25
2017-10-21;4;13;21;22;41;42;25
2017-10-18;2;10;26;29;34;35;7
2017-10-14;2;11;12;15;18;35;13
2017-10-11;14;16;19;23;26;28;34
2017-10-07;7;29;32;42;44;45;16
2017-10-04;2;14;15;21;35;36;24
2017-09-30;1;2;18;21;24;38;28
2017-09-27;4;7;8;32;33;43;13
2017-09-23;20;21;22;27;34;45;6
2017-09-20;15;18;20;23;36;43;11
2017-09-16;2;3;10;17;21;36;1
2017-09-13;1;6;14;17;42;43;31
2017-09-09;4;11;18;25;33;43;39
2017-09-06;7;13;18;27;34;41;8
2017-09-02;2;6;10;21;32;33;7
2017-08-30;6;8;11;13;28;40;9
2017-08-26;3;12;27;39;41;42;25
2017-08-23;5;28;33;37;39;45;14
2017-08-19;6;13;18;21;27;45;34
2017-08-16;1;2;23;40;42;45;28
2017-08-12;8;10;12;13;21;36;7
2017-08-09;10;18;22;25;29;40;39
2017-08-05;4;6;15;16;25;40;22
2017-08-02;2;16;22;26;27;29;28
2017-07-29;4;18;30;31;32;38;7
2017-07-26;15;23;25;34;39;43;16
2017-07-22;6;9;16;23;29;31;22
2017-07-19;16;17;21;34;39;43;18
2017-07-15;5;8;12;13;22;24;14
2017-07-12;19;20;22;24;33;41;23
2017-07-08;1;3;22;33;37;38;17
2017-07-05;9;12;13;16;18;40;11
2017-07-01;3;6;7;29;33;44;45
2017-06-28;9;20;21;32;36;40;39
2017-06-24;15;18;24;25;40;43;13
2017-06-21;2;3;16;22;25;38;42
2017-06-17;7;11;23;29;34;37;31
2017-06-14;3;4;10;28;39;42;33
2017-06-10;16;21;24;37;41;42;23
2017-06-07;4;18;25;31;36;44;6
2017-06-03;1;2;5;6;18;35;44
2017-05-31;2;4;21;38;41;44;1
2017-05-27;4;9;18;36;40;43;26
2017-05-24;21;24;27;29;30;33;12
2017-05-20;4;11;16;18;20;41;39
2017-05-17;6;8;16;20;28;38;43
2017-05-13;1;26;27;35;37;44;25
2017-05-10;4;16;30;35;37;40;39
2017-05-06;1;2;24;41;43;44;22
2017-05-03;2;19;27;28;34;41;21
2017-04-29;3;5;11;33;40;44;31
2017-04-26;1;6;13;17;27;43;11
2017-04-22;2;16;17;26;34;40;19
2017-04-19;6;16;23;24;33;40;22
2017-04-15;7;12;17;19;22;38;40
2017-04-12;20;21;23;26;32;40;4
2017-04-08;2;7;14;19;34;37;10
2017-04-05;1;5;26;33;38;39;14
2017-04-01;6;12;13;21;33;45;28
2017-03-29;6;13;24;32;36;45;18
2017-03-25;10;12;20;24;38;43;21
2017-03-22;13;14;17;35;36;42;43
2017-03-18;4;19;21;26;28;30;7
2017-03-15;3;6;8;18;28;29;13
2017-03-11;2;16;17;24;39;42;22
2017-03-08;5;17;32;37;43;44;26
2017-03-04;4;10;25;33;38;41;45
2017-03-01;5;9;14;22;38;45;29
2017-02-25;2;7;11;34;41;45;21
2017-02-22;14;25;31;36;41;44;30
2017-02-18;3;27;28;33;40;41;38
2017-02-15;8;12;20;33;36;39;13
2017-02-11;5;7;12;36;39;40;29
2017-02-08;3;11;12;13;34;42;33
2017-02-04;1;4;5;7;8;32;10
2017-02-01;6;14;22;28;38;40;29
2017-01-28;7;15;19;25;39;44;3
2017-01-25;10;26;27;36;39;43;37
2017-01-21;7;12;17;19;24;39;41
2017-01-18;8;14;15;29;30;35;7
2017-01-14;18;21;26;39;42;43;36
2017-01-11;10;19;21;22;34;42;3
2017-01-07;3;4;14;20;24;37;44
2017-01-04;13;16;20;24;27;37;29
