Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Bonus
2015-12-30;3;9;16;18;22;32;28
2015-12-26;6;10;33;34;36;40;1
2015-12-23;1;11;19;21;25;26;12
2015-12-19;2;8;15;28;30;32;35
2015-12-16;9;17;21;22;34;36;26
2015-12-12;1;8;16;20;31;33;30
2015-12-09;2;3;34;42;43;44;36
2015-12-05;5;10;28;31;39;44;12
2015-12-02;10;16;24;25;28;39;21
2015-11-28;13;15;16;21;24;34;19
2015-11-25;7;8;17;28;31;44;6
2015-11-21;9;14;15;18;31;41;22
2015-11-18;2;16;35;37;41;45;23
2015-11-14;6;9;16;19;31;40;26
2015-11-11;2;4;9;11;13;31;12
2015-11-07;19;25;26;35;40;42;33
2015-11-04;9;15;16;35;41;44;1
2015-10-31;7;16;20;36;42;45;2
2015-10-28;7;26;29;35;36;43;24
2015-10-24;13;16;17;29;41;44;2
2015-10-21;5;7;13;25;26;44;27
2015-10-17;12;21;26;28;32;44;2
2015-10-14;10;20;22;26;40;44;11
2015-10-10;13;18;19;20;22;23;14
2015-10-07;9;15;17;19;22;43;38
2015-10-03;10;19;28;29;37;45;18
2015-09-30;2;8;12;13;22;35;4
2015-09-26;3;23;24;26;38;39;12
2015-09-23;3;14;19;20;33;43;8
2015-09-19;2;3;8;35;36;43;41
2015-09-16;2;8;25;29;37;43;34
2015-09-12;3;24;27;29;38;44;33
2015-09-09;5;20;23;32;33;40;37
2015-09-05;11;17;22;26;33;36;45
2015-09-02;1;6;31;32;39;44;25
2015-08-29;4;22;27;31;36;43;35
2015-08-26;3;6;18;22;35;44;1
2015-08-22;11;13;24;28;32;33;7
2015-08-19;17;22;27;29;42;44;30
2015-08-15;8;9;16;23;29;44;40
2015-08-12;13;19;20;33;37;40;35
2015-08-08;18;21;29;31;34;44;15
2015-08-05;14;15;20;31;32;41;42
2015-08-01;6;32;33;40;41;43;31
2015-07-29;11;17;18;31;43;44;3
2015-07-25;1;9;10;22;24;34;18
2015-07-22;6;8;9;35;37;38;20
2015-07-18;14;18;21;36;40;43;15
2015-07-15;11;16;17;32;34;38;44
2015-07-11;1;5;14;22;23;24;2
2015-07-08;5;19;21;22;32;45;10
2015-07-04;12;17;20;22;32;44;18
2015-07-01;9;27;32;38;42;44;6
2015-06-27;4;12;16;26;42;45;11
2015-06-24;6;7;8;16;39;42;26
2015-06-20;5;6;13;18;27;28;42
2015-06-17;1;21;23;29;33;45;44
2015-06-13;20;21;34;39;41;44;19
2015-06-10;2;8;26;30;33;41;27
2015-06-06;15;21;26;27;32;41;6
2015-06-03;12;23;28;29;34;38;24
2015-05-30;1;8;22;23;33;42;35
2015-05-27;19;20;32;37;42;43;17
2015-05-23;2;7;14;23;33;36;21
2015-05-20;7;8;15;27;28;37;21
2015-05-16;4;14;20;38;44;45;22
2015-05-13;10;15;21;26;32;40;33
2015-05-09;5;18;19;22;27;30;3
2015-05-06;9;20;25;29;30;38;43
2015-05-02;1;9;31;36;41;45;24
2015-04-29;1;2;28;29;31;39;10
2015-04-25;2;4;16;18;40;45;20
2015-04-22;3;11;19;20;31;44;14
2015-04-18;24;26;30;33;37;38;17
2015-04-15;6;7;11;21;27;35;14
2015-04-11;1;7;29;34;40;44;15
2015-04-08;5;9;11;34;41;43;29
2015-04-04;17;33;37;39;40;43;9
2015-04-01;1;8;23;25;36;38;5
2015-03-28;1;3;8;12;28;43;41
2015-03-25;11;15;21;30;33;40;10
2015-03-21;13;16;21;27;32;38;44
2015-03-18;8;15;23;28;31;36;3
2015-03-14;2;4;5;11;21;36;19
2015-03-11;2;6;20;21;24;28;13
2015-03-07;19;20;29;30;34;36;17
2015-03-04;15;17;23;25;28;29;45
2015-02-28;22;26;28;31;32;35;19
2015-02-25;6;11;14;25;29;38;23
2015-02-21;12;13;16;30;39;41;2
2015-02-18;8;14;27;34;39;42;18
2015-02-14;27;28;32;34;40;44;13
2015-02-11;5;16;18;20;26;40;14
2015-02-07;6;9;18;26;33;38;5
2015-02-04;9;17;30;33;39;42;27
2015-01-31;3;17;18;27;28;36;35
2015-01-28;10;13;22;34;37;39;12
2015-01-24;4;8;12;18;20;22;15
2015-01-21;6;8;16;36;37;44;31
2015-01-17;13;24;25;26;28;44;18
2015-01-14;4;6;20;23;28;34;42
2015-01-10;9;16;19;21;25;45;8
2015-01-07;2;8;19;38;39;43;1
2015-01-03;6;9;13;20;37;43;35
