Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Bonus
2009-12-30;10;12;19;20;25;35;29
2009-12-26;2;6;15;29;41;42;12
2009-12-23;3;6;16;25;27;29;21
2009-12-19;1;19;26;30;33;41;11
2009-12-16;21;28;38;39;41;42;40
2009-12-12;16;28;30;31;34;41;22
2009-12-09;3;12;14;27;28;29;39
2009-12-05;4;8;10;16;35;36;9
2009-12-02;4;30;38;39;40;41;17
2009-11-28;10;16;27;31;35;38;24
2009-11-25;5;6;10;14;28;41;23
2009-11-21;15;21;28;30;31;32;41
2009-11-18;1;7;16;20;37;40;22
2009-11-14;9;11;18;23;33;42;32
2009-11-11;7;18;22;32;38;42;24
2009-11-07;9;20;26;27;38;41;32
2009-11-04;7;13;21;22;24;25;6
2009-10-31;2;13;17;19;29;30;33
2009-10-28;1;4;5;16;27;31;33
2009-10-24;9;11;14;22;29;33;6
2009-10-21;11;12;16;22;25;41;23
2009-10-17;5;13;18;30;32;33;23
2009-10-14;7;9;21;27;29;39;14
2009-10-10;2;18;25;27;32;40;19
2009-10-07;12;17;22;27;33;41;18
2009-10-03;1;4;6;12;14;22;21
2009-09-30;17;22;28;29;36;42;16
2009-09-26;15;18;21;22;34;39;8
2009-09-23;1;2;3;9;11;42;22
2009-09-19;5;7;9;30;40;41;20
2009-09-16;5;11;14;31;33;41;22
2009-09-12;1;10;12;16;25;29;14
2009-09-09;5;15;16;21;24;27;25
2009-09-05;1;2;3;17;28;30;12
2009-09-02;4;7;24;28;31;34;6
2009-08-29;2;4;21;23;25;31;33
2009-08-26;1;21;26;28;39;42;33
2009-08-22;8;12;16;23;33;41;38
2009-08-19;3;15;18;22;33;38;30
2009-08-15;4;6;8;14;20;38;2
2009-08-12;10;24;28;29;35;42;18
2009-08-08;2;4;11;23;37;40;35
2009-08-05;2;20;23;26;28;39;27
2009-08-01;11;16;24;35;36;38;42
2009-07-29;11;12;24;32;39;40;15
2009-07-25;5;7;16;20;22;35;24
2009-07-22;8;10;19;31;38;42;30
2009-07-18;1;8;10;12;24;41;23
2009-07-15;16;19;28;33;38;42;39
2009-07-11;5;9;14;22;28;42;13
2009-07-08;1;4;7;13;39;40;42
2009-07-04;1;6;8;26;38;40;24
2009-07-01;5;6;12;13;14;33;19
2009-06-27;3;4;13;14;31;32;8
2009-06-24;10;11;17;22;24;35;38
2009-06-20;10;22;24;26;27;37;16
2009-06-17;4;12;18;20;26;33;2
2009-06-13;1;5;6;10;21;36;25
2009-06-10;1;22;24;28;29;39;8
2009-06-06;5;7;9;13;20;22;36
2009-06-03;3;6;23;25;32;41;8
2009-05-30;5;12;24;27;28;40;26
2009-05-27;8;16;25;29;37;40;31
2009-05-23;17;18;28;29;31;36;38
2009-05-20;15;17;21;31;33;40;19
2009-05-16;4;5;6;17;19;31;34
2009-05-13;2;15;28;30;31;38;21
2009-05-09;7;8;20;21;33;41;30
2009-05-06;10;12;22;28;29;36;21
2009-05-02;8;14;19;20;32;42;6
2009-04-29;5;7;20;22;25;42;24
2009-04-25;7;12;14;19;25;28;24
2009-04-22;11;20;25;27;28;29;3
2009-04-18;2;5;11;15;31;40;29
2009-04-15;19;25;26;30;39;40;14
2009-04-11;3;5;8;19;30;33;7
2009-04-08;5;6;11;15;21;24;13
2009-04-04;3;10;17;28;37;38;1
2009-04-01;8;11;12;17;27;32;41
2009-03-28;7;9;10;11;28;34;4
2009-03-25;1;5;6;7;15;32;31
2009-03-21;4;5;7;20;28;39;8
2009-03-18;9;18;19;25;27;39;17
2009-03-14;6;15;23;24;29;30;1
2009-03-11;1;2;26;31;32;36;24
2009-03-07;22;25;27;28;34;37;23
2009-03-04;3;7;25;29;36;39;23
2009-02-28;7;8;23;29;33;41;17
2009-02-25;4;8;14;19;23;33;9
2009-02-21;8;12;19;27;33;38;24
2009-02-18;14;16;18;25;35;37;38
2009-02-14;21;22;28;31;33;42;7
2009-02-11;2;6;12;14;15;40;20
2009-02-07;2;5;8;10;16;20;30
2009-02-04;7;8;17;22;23;35;27
2009-01-31;5;18;20;34;36;42;41
2009-01-28;15;19;20;22;33;34;31
2009-01-24;17;18;19;23;36;37;20
2009-01-21;12;20;22;30;33;34;5
2009-01-17;8;12;21;28;32;36;34
2009-01-14;7;11;12;14;21;24;25
2009-01-10;6;17;22;24;38;39;26
2009-01-07;13;16;19;28;30;37;41
2009-01-03;6;19;22;24;33;34;4
